# Neuromorphic Accelerator Simulation Results
# Generated: 2025-10-20 00:11:01
# User: e19129@localhost.localdomain
# Run Configuration:
#   Mode: Full Simulation
#   Layer Filter: 1 2
#   Neuron Filter: All (16 32 64 128 256 512)
#   Timestep Filter: 25 50 75 100

#   Verbose Mode: Disabled
#   Total Expected Simulations: 192
#
# CSV Format: Config,Layers,Neurons,Train_TimeSteps,Inference_TimeSteps,Accuracy
Config,Layers,Neurons,Train_TimeSteps,Inference_TimeSteps,Accuracy
h32_l1_t75,1,32,75,50,91.15
h32_l1_t75,1,32,75,75,91.88
h32_l1_t75,1,32,75,100,91.88
h32_l2_t100,2,32,100,25,84.06
h32_l2_t100,2,32,100,50,88.54
h32_l2_t100,2,32,100,75,88.33
h32_l2_t100,2,32,100,100,89.69
h32_l2_t25,2,32,25,25,93.54
h32_l2_t25,2,32,25,50,94.38
h32_l2_t25,2,32,25,75,94.58
h32_l2_t25,2,32,25,100,94.79
h32_l2_t50,2,32,50,25,92.29
h32_l2_t50,2,32,50,50,92.60
h32_l2_t50,2,32,50,75,93.02
h32_l2_t50,2,32,50,100,93.23
h32_l2_t75,2,32,75,25,86.77
h32_l2_t75,2,32,75,50,90.52
h32_l2_t75,2,32,75,75,91.77
h32_l2_t75,2,32,75,100,91.56
h512_l1_t100,1,512,100,25,N/A
h512_l1_t100,1,512,100,50,N/A
h512_l1_t100,1,512,100,75,N/A
h512_l1_t100,1,512,100,100,N/A
h512_l1_t25,1,512,25,25,N/A
h512_l1_t25,1,512,25,50,N/A
h512_l1_t25,1,512,25,75,N/A
h512_l1_t25,1,512,25,100,N/A
h512_l1_t50,1,512,50,25,N/A
h512_l1_t50,1,512,50,50,N/A
h512_l1_t50,1,512,50,75,N/A
h512_l1_t50,1,512,50,100,N/A
h512_l1_t75,1,512,75,25,N/A
h512_l1_t75,1,512,75,50,N/A
h512_l1_t75,1,512,75,75,N/A
h512_l1_t75,1,512,75,100,N/A
h512_l2_t100,2,512,100,25,N/A
h512_l2_t100,2,512,100,50,N/A
h512_l2_t100,2,512,100,75,N/A
h512_l2_t100,2,512,100,100,N/A
h512_l2_t25,2,512,25,25,N/A
h512_l2_t25,2,512,25,50,N/A
h512_l2_t25,2,512,25,75,N/A
h512_l2_t25,2,512,25,100,N/A
h512_l2_t50,2,512,50,25,N/A
h512_l2_t50,2,512,50,50,N/A
h512_l2_t50,2,512,50,75,N/A
h512_l2_t50,2,512,50,100,N/A
h512_l2_t75,2,512,75,25,N/A
h512_l2_t75,2,512,75,50,N/A
h512_l2_t75,2,512,75,75,N/A
h512_l2_t75,2,512,75,100,N/A
h64_l1_t100,1,64,100,25,92.19
h64_l1_t100,1,64,100,50,93.12
h64_l1_t100,1,64,100,75,94.06
h64_l1_t100,1,64,100,100,93.85
h64_l1_t25,1,64,25,25,95.52
h64_l1_t25,1,64,25,50,95.52
h64_l1_t25,1,64,25,75,95.94
h64_l1_t25,1,64,25,100,95.83
h64_l1_t50,1,64,50,25,92.50
h64_l1_t50,1,64,50,50,92.92
h64_l1_t50,1,64,50,75,93.44
h64_l1_t50,1,64,50,100,94.48
h64_l1_t75,1,64,75,25,91.88
h64_l1_t75,1,64,75,50,93.44
h64_l1_t75,1,64,75,75,94.27
h64_l1_t75,1,64,75,100,94.06
h64_l2_t100,2,64,100,25,40.94
h64_l2_t100,2,64,100,50,41.77
h64_l2_t100,2,64,100,75,43.02
h64_l2_t100,2,64,100,100,43.85
h64_l2_t25,2,64,25,25,75.73
h64_l2_t25,2,64,25,50,76.98
h64_l2_t25,2,64,25,75,77.40
h64_l2_t25,2,64,25,100,77.08
h64_l2_t50,2,64,50,25,66.98
h64_l2_t50,2,64,50,50,69.90
h64_l2_t50,2,64,50,75,70.21
h64_l2_t50,2,64,50,100,70.83
h64_l2_t75,2,64,75,25,70.73
h64_l2_t75,2,64,75,50,72.81
h64_l2_t75,2,64,75,75,72.92
h64_l2_t75,2,64,75,100,72.81
