"sample","true_label","pred_label","error","result"
"84","8","4","4","FAIL"
"85","4","4","0","PASS"
"86","7","7","0","PASS"
"87","3","7","-4","FAIL"
"88","6","6","0","PASS"
"89","1","1","0","PASS"
"90","3","3","0","PASS"
"91","6","6","0","PASS"
"92","9","4","5","FAIL"
"93","3","7","-4","FAIL"
"94","1","4","-3","FAIL"
"95","4","4","0","PASS"
"96","1","7","-6","FAIL"
"97","7","7","0","PASS"
"98","6","6","0","PASS"
"99","9","7","2","FAIL"
"100","6","6","0","PASS"
"101","0","0","0","PASS"
"102","5","7","-2","FAIL"
"103","4","4","0","PASS"
"104","9","6","3","FAIL"
"105","9","7","2","FAIL"
"106","2","7","-5","FAIL"
"107","1","1","0","PASS"
"108","9","7","2","FAIL"
"109","4","7","-3","FAIL"
"110","8","9","-1","FAIL"
"111","7","7","0","PASS"
"112","3","3","0","PASS"
"113","9","7","2","FAIL"
"114","7","7","0","PASS"
"115","4","4","0","PASS"
"116","4","4","0","PASS"
"117","4","4","0","PASS"
"118","9","7","2","FAIL"
"119","2","7","-5","FAIL"
"120","5","4","1","FAIL"
"121","4","4","0","PASS"
"122","7","7","0","PASS"
"123","6","6","0","PASS"
"124","7","4","3","FAIL"
"125","9","4","5","FAIL"
"126","0","0","0","PASS"
"127","5","7","-2","FAIL"
"128","8","7","1","FAIL"
"129","5","7","-2","FAIL"
"130","6","6","0","PASS"
"131","6","6","0","PASS"
"132","5","6","-1","FAIL"
"133","7","7","0","PASS"
"134","8","7","1","FAIL"
"135","1","1","0","PASS"
"136","0","0","0","PASS"
"137","1","1","0","PASS"
"138","6","6","0","PASS"
"139","4","7","-3","FAIL"
"140","6","6","0","PASS"
"141","7","7","0","PASS"
"142","3","7","-4","FAIL"
"143","1","1","0","PASS"
"144","7","7","0","PASS"
"145","1","1","0","PASS"
"146","8","7","1","FAIL"
"147","2","2","0","PASS"
"148","0","0","0","PASS"
"149","2","6","-4","FAIL"
"150","9","7","2","FAIL"
"151","9","7","2","FAIL"
"152","5","7","-2","FAIL"
"153","5","8","-3","FAIL"
"154","1","1","0","PASS"
"155","5","4","1","FAIL"
"156","6","6","0","PASS"
"157","0","0","0","PASS"
"158","3","7","-4","FAIL"
"159","4","4","0","PASS"
"160","4","4","0","PASS"
"161","6","6","0","PASS"
"162","5","9","-4","FAIL"
"163","4","4","0","PASS"
"164","6","6","0","PASS"
"165","5","4","1","FAIL"
"166","4","4","0","PASS"
"167","5","4","1","FAIL"
"168","1","1","0","PASS"
"169","4","4","0","PASS"
"170","4","4","0","PASS"
"171","7","7","0","PASS"
"172","2","3","-1","FAIL"
"173","3","3","0","PASS"
"174","2","2","0","PASS"
"175","7","7","0","PASS"
"176","1","1","0","PASS"
"177","8","9","-1","FAIL"
"178","1","1","0","PASS"
"179","8","9","-1","FAIL"
"180","1","1","0","PASS"
"181","8","4","4","FAIL"
"182","5","8","-3","FAIL"
"183","0","0","0","PASS"
"184","8","9","-1","FAIL"
"185","9","4","5","FAIL"
"186","2","3","-1","FAIL"
"187","5","3","2","FAIL"
"188","0","0","0","PASS"
"189","1","1","0","PASS"
"190","1","7","-6","FAIL"
"191","1","4","-3","FAIL"
"192","0","0","0","PASS"
"193","9","7","2","FAIL"
"194","0","7","-7","FAIL"
"195","3","3","0","PASS"
"196","1","6","-5","FAIL"
"197","6","6","0","PASS"
"198","4","7","-3","FAIL"
"199","2","9","-7","FAIL"
"200","3","9","-6","FAIL"
"201","6","6","0","PASS"
"202","1","1","0","PASS"
"203","1","1","0","PASS"
"204","1","1","0","PASS"
"205","3","3","0","PASS"
"206","9","7","2","FAIL"
"207","5","5","0","PASS"
"208","2","2","0","PASS"
"209","9","2","7","FAIL"
"210","4","4","0","PASS"
"211","5","7","-2","FAIL"
"212","9","6","3","FAIL"
"213","3","3","0","PASS"
"214","9","7","2","FAIL"
"215","0","7","-7","FAIL"
"216","3","3","0","PASS"
"217","6","4","2","FAIL"
"218","5","7","-2","FAIL"
"219","5","3","2","FAIL"
"220","7","7","0","PASS"
"221","2","9","-7","FAIL"
"222","2","7","-5","FAIL"
"223","7","7","0","PASS"
"224","1","1","0","PASS"
"225","2","7","-5","FAIL"
"226","8","7","1","FAIL"
"227","4","4","0","PASS"
"228","1","1","0","PASS"
"229","7","7","0","PASS"
"230","3","7","-4","FAIL"
"231","3","3","0","PASS"
"232","8","6","2","FAIL"
"233","8","7","1","FAIL"
"234","7","7","0","PASS"
"235","9","7","2","FAIL"
"236","2","7","-5","FAIL"
"237","2","2","0","PASS"
"238","4","4","0","PASS"
"239","1","1","0","PASS"
"240","5","9","-4","FAIL"
"241","9","7","2","FAIL"
"242","8","7","1","FAIL"
"243","7","7","0","PASS"
"244","2","7","-5","FAIL"
"245","3","6","-3","FAIL"
"246","0","0","0","PASS"
"247","4","6","-2","FAIL"
"248","4","4","0","PASS"
"249","2","6","-4","FAIL"
"250","4","9","-5","FAIL"
"251","1","1","0","PASS"
"252","9","7","2","FAIL"
"253","5","3","2","FAIL"
"254","7","7","0","PASS"
"255","7","7","0","PASS"
"256","2","3","-1","FAIL"
"257","8","9","-1","FAIL"
"258","2","6","-4","FAIL"
"259","6","6","0","PASS"
"260","8","7","1","FAIL"
"261","5","7","-2","FAIL"
"262","7","7","0","PASS"
"263","7","7","0","PASS"
"264","9","3","6","FAIL"
"265","1","6","-5","FAIL"
"266","8","7","1","FAIL"
"267","1","1","0","PASS"
"268","8","4","4","FAIL"
"269","0","0","0","PASS"
"270","3","3","0","PASS"
"271","0","0","0","PASS"
"272","1","1","0","PASS"
"273","9","7","2","FAIL"
"274","9","7","2","FAIL"
"275","4","4","0","PASS"
"276","1","1","0","PASS"
"277","8","7","1","FAIL"
"278","2","7","-5","FAIL"
"279","1","1","0","PASS"
"280","2","8","-6","FAIL"
"281","9","7","2","FAIL"
"282","7","7","0","PASS"
"283","5","7","-2","FAIL"
"284","9","7","2","FAIL"
"285","2","2","0","PASS"
"286","6","6","0","PASS"
"287","4","4","0","PASS"
"288","1","6","-5","FAIL"
"289","5","4","1","FAIL"
"290","8","4","4","FAIL"
"291","2","3","-1","FAIL"
"292","9","7","2","FAIL"
"293","2","6","-4","FAIL"
"294","0","0","0","PASS"
"295","4","4","0","PASS"
"296","0","0","0","PASS"
"297","0","0","0","PASS"
"298","2","2","0","PASS"
"299","8","8","0","PASS"
"300","4","6","-2","FAIL"
"301","7","7","0","PASS"
"302","1","1","0","PASS"
"303","2","7","-5","FAIL"
"304","4","4","0","PASS"
"305","0","0","0","PASS"
"306","2","2","0","PASS"
"307","7","7","0","PASS"
"308","4","7","-3","FAIL"
"309","3","3","0","PASS"
"310","3","3","0","PASS"
"311","0","7","-7","FAIL"
"312","0","0","0","PASS"
"313","3","4","-1","FAIL"
"314","1","1","0","PASS"
"315","9","7","2","FAIL"
"316","6","6","0","PASS"
"317","5","4","1","FAIL"
"318","2","3","-1","FAIL"
"319","5","4","1","FAIL"
